sample,lat,lon,temp,cond,salinity,turb,chl,pH,P,Nitrate+Nitrite,Ammonia,N,N:P,N*,15N,13C,%N,%C,Level,Level_2,Region,Envi
171119_6,1.211806,78.88075,27.3,35355,21.18924591,1.7,7.83,7.29,0.23,1.32,0.82,2.14,9.304347826,-1.54,,,,,intermediate,intermediate,Cayapas Mataje,Shrimp_outflow
171119_7,1.212639,78.88036,27.2,35491,21.32458755,1.6,7.46,7.58,0.12,0.56,1.26,1.82,15.16666667,-0.1,2.923,-22.954,0.232318608,1.37987013,intermediate,intermediate,Cayapas Mataje,Shrimp_inlet
171119_8,1.213611,78.87947,27.3,35544,21.31444381,1.6,6.3,7.46,0.32,1.37,1.63,3,9.375,-2.12,3.984,-25.65,0.234836347,1.534090909,intermediate,intermediate,Cayapas Mataje,Shrimp_inlet
171119_9,1.214861,78.88067,27.3,35667,21.39597105,1.8,6.25,7.59,0.24,1.05,1.44,2.49,10.375,-1.35,,,,,intermediate,intermediate,Cayapas Mataje,Shrimp_inlet
171119_10,1.216333,78.88064,27.3,35778,21.4695777,1.5,5.9,7.35,0.25,0.96,1.4,2.36,9.44,-1.64,,,,,intermediate,intermediate,Cayapas Mataje,Shrimp_inlet
171119_11,1.220333,78.88869,27.6,36046,21.51024012,1.4,9.36,7.4,0.15,0.44,1.04,1.48,9.866666667,-0.92,,,,,intermediate,intermediate,Cayapas Mataje,Shrimp_inlet
171119_12,1.221194,78.88097,27.6,36126,21.56302325,1.3,7.04,7.39,0.3,0.94,1.29,2.23,7.433333333,-2.57,5.047,-26.117,0.201916496,1.196725259,intermediate,intermediate,Cayapas Mataje,Shrimp_inlet
171120_1,1.212889,78.88011,26.7,34525,20.90620522,7.2,13.67,6.97,1.87,0.13,1.7,1.83,0.978609626,-28.09,,,,,intermediate,intermediate,Cayapas Mataje,Channel_Shrimp_Inlet
171120_2,1.213611,78.87944,26.7,34805,21.09352695,4.8,9.86,7.34,0.51,0.68,1.17,1.85,3.62745098,-6.31,3.154,-27.856,0.480492813,2.959306525,intermediate,intermediate,Cayapas Mataje,Channel_Shrimp_Inlet
171120_3,1.214889,78.88033,26.9,35100,21.20025001,6.5,9.72,7.28,0.51,0.81,2.61,3.42,6.705882353,-4.74,7.574,-26.776,0.412274698,3.977847339,intermediate,intermediate,Cayapas Mataje,Channel_Shrimp_Inlet
171120_4,1.216528,78.88072,26.8,35100,21.24559696,4.3,8.84,7.28,0.09,0.49,1.23,1.72,19.11111111,0.28,1.026,-25.552,0.220168834,1.832410306,intermediate,intermediate,Cayapas Mataje,Main_Channel_Shrimp
171120_5,1.220556,78.88036,26.9,35167,21.24496178,2.3,8.39,7.26,0.17,0.51,2.1,2.61,15.35294118,-0.11,1.46,-28.427,0.417294091,2.164700217,intermediate,intermediate,Cayapas Mataje,Main_Channel_Shrimp
171120_6,1.221417,78.88069,26.9,35188,21.25897832,2.3,8.37,7.28,0.12,0.28,1.99,2.27,18.91666667,0.35,,,,,intermediate,intermediate,Cayapas Mataje,Main_Channel_Shrimp
171120_7,1.234722,78.91319,27.5,34336,20.42905308,3.7,7.53,7.42,0.23,1.14,2.78,3.92,17.04347826,0.24,1.058,-27.163,0.339493498,2.097279075,intermediate,intermediate,Cayapas Mataje,Channel_Mangrove
171120_8,1.234611,78.91481,27.5,34330,20.42511279,2.4,6.72,7.44,0.17,0.83,1.77,2.6,15.29411765,-0.12,,,,,intermediate,intermediate,Cayapas Mataje,Channel_Mangrove
171120_9,1.233944,78.91667,27.5,34511,20.54401921,3.4,9.12,7.95,0.3,1.21,2.85,4.06,13.53333333,-0.74,,,,,intermediate,intermediate,Cayapas Mataje,Channel_Mangrove
171120_10,1.232722,78.91825,27.5,34874,20.78274351,3.2,7.19,7.47,0.28,1.15,2.35,3.5,12.5,-0.98,1.177,-28.585,0.336527493,2.232121358,intermediate,intermediate,Cayapas Mataje,Channel_Mangrove
171120_11,1.232972,78.91992,27.6,33863,20.0762212,1.4,8.29,7.55,0.21,1.18,2.24,3.42,16.28571429,0.06,4.191,-29.005,0.293862651,1.945581507,intermediate,intermediate,Cayapas Mataje,Main_Channel_Shrimp
171120_12,1.234472,78.92175,27.6,34179,20.28304505,1.7,11.56,7.48,0.29,1.23,2,3.23,11.13793103,-1.41,1.906,-27.601,0.282683094,1.876956417,intermediate,intermediate,Cayapas Mataje,Main_Channel_Shrimp
171120_13,1.232278,78.91269,27.8,34942,20.69594729,8.5,7.5,7.49,0.29,1.96,3.11,5.07,17.48275862,0.43,,,,,intermediate,intermediate,Cayapas Mataje,Mangrove_inlet
171120_14,1.232861,78.91217,27.8,35278,20.91585999,7.7,8.03,7.47,0.27,1.02,2.53,3.55,13.14814815,-0.77,,,,,intermediate,intermediate,Cayapas Mataje,Mangrove_inlet
171120_15,1.233417,78.91156,27.8,35715,21.20230603,12.9,11.64,7.6,0.22,0.97,1.95,2.92,13.27272727,-0.6,,,,,intermediate,intermediate,Cayapas Mataje,Mangrove_inlet
171120_16,1.234722,78.91331,27.9,35205,20.82414889,7.4,11.28,7.76,0.21,0.59,1.51,2.1,10,-1.26,,,,,intermediate,intermediate,Cayapas Mataje,Channel_inlet
171120_17,1.233861,78.91683,27.8,36070,21.43535791,7.8,11.14,7.79,0.2,0.48,1.92,2.4,12,-0.8,,,,,intermediate,intermediate,Cayapas Mataje,Channel_inlet
171120_18,1.232944,78.91997,27.8,36752,21.88396994,4.9,9.52,7.82,0.19,0.29,1.02,1.31,6.894736842,-1.73,,,,,intermediate,intermediate,Cayapas Mataje,Main_Channel_Shrimp
171120_19,1.232194,78.91619,27.8,35167,20.84317851,5.4,7.96,7.7,0.32,1.65,2.7,4.35,13.59375,-0.77,0.687,-26.248,0.346566279,2.488562485,intermediate,intermediate,Cayapas Mataje,Mangrove_inlet
171120_20,1.23275,78.91647,27.9,35348,20.91760364,6.1,8.03,7.72,0.19,0.72,1.84,2.56,13.47368421,-0.48,0.538,-25.453,0.32397901,2.217673971,intermediate,intermediate,Cayapas Mataje,Mangrove_inlet
171120_21,1.233139,78.91661,27.8,36055,21.42550422,6.2,9.22,7.85,0.17,0.39,1.32,1.71,10.05882353,-1.01,,,,,intermediate,intermediate,Cayapas Mataje,Mangrove_inlet
171121_1,1.255278,78.88725,27.7,38434,23.04395244,3,6.89,6.95,,,,,,,,,,,low,low,Cayapas Mataje,Tambillo
171121_2,1.25525,78.88831,27.5,38698,23.3179133,2.8,6.97,7.07,,,,,,,,,,,low,low,Cayapas Mataje,Tambillo
171121_3,1.255583,78.88889,27.5,38762,23.36065506,2.4,7.48,7.18,,,,,,,,,,,low,low,Cayapas Mataje,Tambillo
171121_4,1.255722,78.89067,27.5,38603,23.25448724,1.6,6.31,7.25,,,,,,,,,,,low,low,Cayapas Mataje,Tambillo
171121_5,1.256889,78.89328,27.6,38719,23.28256228,2.5,7.99,7.3,,,,,,,,,,,low,low,Cayapas Mataje,Tambillo
171121_6,1.258444,78.89517,27.8,38484,23.02847699,2.9,6.57,7.38,,,,,,,,,,,low,low,Cayapas Mataje,Tambillo
171121_7,1.253361,78.88644,27.5,38880,23.43948684,3.4,7.84,7.47,,,,,,,,,,,low,low,Cayapas Mataje,Tambillo
171121_8,1.252694,78.88694,27.6,38541,23.1639861,1.6,6.34,7.48,,,,,,,,,,,low,low,Cayapas Mataje,Tambillo
171121_9,1.251694,78.88739,27.6,38532,23.15799276,1.7,7.07,7.5,,,,,,,,,,,low,low,Cayapas Mataje,Tambillo
171121_10,1.250611,78.88831,28.5,38142,22.4691898,2.6,7.54,7.53,,,,,,,,,,,low,low,Cayapas Mataje,Tambillo
171121_11,1.334361,78.88419,27.7,41040,24.78332206,2,6.63,7.62,,,,,,,,,,,low,low,Cayapas Mataje,Panpanal
171121_12,1.331222,78.88094,28,42205,25.40473327,2.3,6.85,7.66,,,,, ,,,,,,low,low,Cayapas Mataje,Panpanal
171121_13,1.331944,78.87922,28.1,41362,24.78926067,2.5,6.92,7.72,,,,,,,,,,,low,low,Cayapas Mataje,Panpanal
171121_14,1.332444,78.87789,28.5,41771,24.85222719,18.1,7.64,7.73,,,,,,,,,,,low,low,Cayapas Mataje,Panpanal
171122_1,1.290278,78.80983,28.1,37657,22.33951949,7.7,8.3,,,,,,,,,,,,low,low,Cayapas Mataje,SL_channel
171122_2,1.291833,78.81308,28.2,38000,22.51757689,5.7,7.24,,,,,,,,,,,,low,low,Cayapas Mataje,SL_channel
171122_3,1.293306,78.81594,28.3,38477,22.78299921,5.7,9.35,,,,,,,,,,,,low,low,Cayapas Mataje,SL_channel
171122_4,1.295472,78.81639,28.6,38967,22.96016068,5.7,6.31,,,,,,,,,,,,low,low,Cayapas Mataje,SL_channel
171122_5,1.297056,78.81739,27.8,38633,23.12728344,2.2,5.26,,,,,,,,,,,,low,low,Cayapas Mataje,SL_channel
171122_6,1.297889,78.81778,28.5,38588,22.76035824,2.6,7.9,,,,,,,,,,,,low,low,Cayapas Mataje,SL_channel
171122_7,1.30725,78.80375,28,38443,22.90454851,3.7,9.27,,,,,,,,,,,,low,low,Cayapas Mataje,SL
171122_8,1.304472,78.80714,28.1,38331,22.7826807,2.2,8.85,,,,,,,,,,,,low,low,Cayapas Mataje,SL
171122_9,1.302583,78.81114,28.4,38393,22.68037,2,9.53,,,,,,,,,,,,low,low,Cayapas Mataje,SL
171122_11,1.296111,78.81939,27.8,38862,23.27924694,2.1,8.7,,,,,,,,,,,,low,low,Cayapas Mataje,SL
171122_12,1.294556,78.82275,28,39048,23.30430717,2.1,10.48,,4.38,2.41,7.49,9.9,2.260273973,-60.18,,,,,low,low,Cayapas Mataje,SL
171124_1,0.445361,80.03856,24,50978,34.22318104,5.6,24.92,7.12,1.74,2.5,8.92,11.42,6.563218391,-16.42,,,,,high,high,Bolivar,Bolivar_mangrove
171124_2,0.445722,80.03806,24,51021,34.25561176,6.9,26.6,7.37,,,,,,,,,,,high,high,Bolivar,Bolivar_mangrove
171124_6,0.446,80.03558,23.9,51097,34.39010237,5.8,27.07,0,,,,,,,,,,,high,high,Bolivar,Bolivar_mangrove
171124_8,0.449333,80.03836,23.6,52467,35.66901241,7,123.56,8,,,,,,,,,,,pond,pond,Bolivar,Pond
171124_9,0.449333,80.03836,23.6,52467,35.66901241,7,123.65,7.96,2.86,24.1,13.4,37.5,13.11188811,-8.26,,,,,pond,pond,Bolivar,Pond
171125_1,0.465361,79.964,23.8,7830,4.443956885,15.3,64.59,7.26,,,,,,,,,,,high,high,Muisne,Bilsa_transect
171125_2,0.632694,79.96611,24,10099,5.815279006,17.9,71.89,7.31,2.7,21.1,16.9,38,14.07407407,-5.2,,,,,high,high,Muisne,Bilsa_transect
171125_3,0.631417,79.96819,24.1,12667,7.408273799,17.2,70.82,7.33,,,,,,,,,,,high,high,Muisne,Bilsa_transect
171125_4,0,0,24.2,13400,7.855372359,16.5,69.04,7.36,2.96,16.4,22.3,38.7,13.07432432,-8.66,,,,,high,high,Muisne,Bilsa_transect
171125_5,0.628667,79.97083,24.2,16219,9.660216707,15,65.48,7.35,,,,,,,,,,,high,high,Muisne,Bilsa_transect
171125_6,0.628222,79.97314,24.1,18793,11.36211177,13.7,63.7,7.37,5.18,12.8,26.4,39.2,7.567567568,-43.68,,,,,high,high,Muisne,Bilsa_transect
171125_7,0.628306,79.97489,24.2,20658,12.56774055,13.1,63.18,7.41,,,,,,,,,,,high,high,Muisne,Bilsa_transect
171125_8,0.625944,79.97597,24.3,23371,14.3483519,13.7,52.22,7.39,3.28,8.15,27,35.15,10.71646341,-17.33,,,,,high,high,Muisne,Bilsa_transect
171125_9,0.62475,79.97692,24.2,26392,16.42713023,10.2,45.24,7.38,,,,,,,,,,,high,high,Muisne,Bilsa_transect
171125_10,0.624639,79.98014,24.4,28820,18.01337991,9.3,37.84,7.38,2.72,5.84,21.4,27.24,10.01470588,-16.28,,,,,high,high,Muisne,Bilsa_transect
171125_11,0.623972,79.98247,24.4,31422,19.81064745,9.5,29.37,7.09,,,,,,,,,,,high,high,Muisne,Bilsa_transect
171125_12,0.623833,79.98789,24.4,34837,22.19923293,8.8,24.07,,2.35,5.07,14,19.07,8.114893617,-18.53,,,,,high,high,Muisne,Bilsa_transect
171125_13,0.62425,79.99036,24.4,37510,24.09167124,8.5,22.11,7.34,,,,,,,,,,,high,high,Muisne,Bilsa_transect
171125_14,0.62075,79.99297,24.4,39207,25.30328927,7.5,23.56,,2.02,4.67,10.5,15.17,7.50990099,-17.15,,,,,high,high,Muisne,Bilsa_transect
171125_15,0.617556,79.99456,24.4,41711,27.10528106,6.7,20.61,7.43,,,,,,,,,,,high,high,Muisne,Bilsa_transect
171125_16,0.61875,79.99869,24.4,43046,28.07284849,7.5,20.94,,1.76,4.45,5.47,9.92,5.636363636,-18.24,,,,,high,high,Muisne,Bilsa_transect
171125_17,0.617528,80.00092,24.4,44183,28.90063216,7.1,19.67,7.48,,,,,,,,,,,high,high,Muisne,Bilsa_transect
171125_18,0.615194,80.00375,24.3,45086,29.62634754,7.3,18.27,,2.11,5.24,10.7,15.94,7.55450237,-17.82,,,,,high,high,Muisne,Bilsa_transect
171125_19,0.614306,80.00817,24.4,45898,30.15566082,5.6,15.27,7.5,,,,,,,,,,,high,high,Muisne,Bilsa_transect
171125_20,0.611,80.00781,24.4,46795,30.81515034,5.3,13.63,,1.96,4.81,6.18,10.99,5.607142857,-20.37,,,,,high,high,Muisne,Bilsa_transect
171125_21,0.607639,80.01086,24.8,48676,31.91997486,6.9,6.35,7.31,0.15,0.09,0.03,0.12,0.8,-2.28,,,,,high,high,Muisne,Muisne river
171125_22,0.608722,80.00992,24.4,47098,31.03839587,4.5,11.24,,0.19,0.03,0.16,0.19,1,-2.85,,,,,high,high,Muisne,Muisne river
171125_23,0.609222,80.00917,24.5,46782,30.73713035,5,13.18,7.56,0.21,0.02,0.18,0.2,0.952380952,-3.16,,,,,high,high,Muisne,Muisne river
171125_24,0.611167,80.013,24.4,47932,31.65410957,3.9,10.01,,0.26,0.02,0.29,0.31,1.192307692,-3.85,,,,,high,high,Muisne,Muisne river
171125_25,0.613028,80.01589,24.4,48317,31.93895278,6.2,7.96,7.66,0.23,0.01,0.06,0.07,0.304347826,-3.61,,,,,high,high,Muisne,Muisne river
171126_8,0.627611,80.03414,24.5,49584,32.8059008,2.6,5.41,,,,,,,,1.076,-24.644,0.42,2.14,high,high,Muisne,Ocean_Muisne
171126_9,0.620694,80.02728,24.4,49377,32.72518647,2.8,6.6,,,,,,,,2.785,-27.582,0.2,1.12,high,high,Muisne,Ocean_Muisne
171126_10,0.613778,80.01636,24.3,48736,32.32138452,3.5,7.79,,,,,,,,1.199,-27.012,0.21,2.39,high,high,Muisne,Muisne river
171126_11,0.610833,80.01372,24.4,48280,31.9115615,3.7,8.36,,,,,,,,,,,,high,high,Muisne,Muisne river
171126_12,0.608389,80.01033,24.4,48066,31.75320606,3.8,8.78,,,,,,,,1.603,-27.389,0.47,2.48,high,high,Muisne,Muisne river