ID,171116_17.exp.,171119_8.exp.,171116_23.exp.,171119_12.exp.,171117_8.exp.,171118_11.exp.,171117_16.exp.,171117_14.exp.,171122_2.exp.,171117_12.exp.,171120_8.exp.,171121_10.exp.,171122_8.exp.,171125_5.exp.,171116_11.exp.,171126_3.exp.,171121_11.exp.,171116_16.exp.,171116_12.exp.,171125_14.exp.,171125_15.exp.,171117_17.exp.,171126_2.exp.,171121_12.exp.,171116_6.exp.,171118_16.exp.,171117_3.exp.,171125_23.exp.,171125_19.exp.,171119_3.exp.,171117_21.exp.,171116_10.exp.,171126_10.exp.,171121_2.exp.,171121_1.exp.,171126_11.exp.,171120_20.exp.,171120_5.exp.,171125_21.exp.,171116_20.exp.,171116_19.exp.,171118_14.exp.,171116_21.exp.,171125_13.exp.,171125_1.exp.,171125_22.exp.,171125_7.exp.,171120_18.exp.,171126_4.exp.,171125_25.exp.,171116_1.exp.,171125_11.exp.,171116_22.exp.,171120_17.exp.,171119_9.exp.,171125_18.exp.,171116_18.exp.,171119_4.exp.,171119_11.exp.,171120_14.exp.,171120_3.exp.,171121_7.exp.,171120_2.exp.,171125_16.exp.,171119_10.exp.,171117_22.exp.,171124_8.exp.,171120_15.exp.,171126_8.exp.,171122_4.exp.,171120_1.exp.,171122_11.exp.,171120_19.exp.,171117_6.exp.,171117_18.exp.,171117_20.exp.,171118_3.exp.,171121_4.exp.,171117_9.exp.,171125_4.exp.,171121_5.exp.,171120_16.exp.,171120_6.exp.,171119_7.exp.,171118_2.exp.,171120_7.exp.,171119_6.exp.,171117_13.exp.,171120_9.exp.,171122_12.exp.,171126_6.exp.,171117_2.exp.,171125_2.exp.,171118_9.exp.,171125_6.exp.,171118_1.exp.,171120_13.exp.,171118_13.exp.,171120_11.exp.,171126_9.exp.,171120_12.exp.,171116_14.exp.,171126_7.exp.,171116_7.exp.,171125_9.exp.,171121_13.exp.,171116_15.exp.,171125_12.exp.,171121_3.exp.,171121_8.exp.,171117_19.exp.,171121_6.exp.,171124_1.exp.,171117_4.exp.,171117_1.exp.,171125_3.exp.,171116_5.exp.,171118_17.exp.,171117_15.exp.,171117_11.exp.,171122_9.exp.,171126_1.exp.,171121_9.exp.,171116_2.exp.,171125_17.exp.,171117_10.exp.,171116_4.exp.,171120_4.exp.,171118_5.exp.,171122_1.exp.,171122_5.exp.,171116_3.exp.,171120_21.exp.,171116_9.exp.,171118_15.exp.,171117_7.exp.,171124_6.exp.,171122_7.exp.,171125_20.exp.,171116_24.exp.,171119_2.exp.,171122_6.exp.,171117_5.exp.,171126_5.exp.,171121_14.exp.,171125_10.exp.,171122_3.exp.,171116_8.exp.,171116_13.exp.,171126_12.exp.,171120_10.exp.,171118_4.exp.,171119_1.exp.,171125_8.exp.,171118_8.exp.,171118_12.exp.,171119_5.exp.,171118_10.exp.,171118_6.exp.,171118_7.exp.,171124_2.exp.,171124_9.exp.,171125_24.exp.,Enzyme_Name
1.8.1.2,654.666666667,302.571428571,303.0,530.714285714,562.166666667,522.666666667,988.0,759.5,929.253968254,756.166666667,212.333333333,662.138888889,820.214285714,1902.96296296,666.5,1277.95512821,1037.37698413,600.5,577.531746032,776.0,633.5,714.333333333,1516.33333333,903.666666667,915.833333333,793.852941176,975.5,797.0,812.5,274.857142857,766.166666667,414.333333333,1033.05555556,924.325396825,1817.12301587,830.333333333,333.416666667,322.777777778,2263.27777778,498.5,459.404761905,539.785714286,756.119047619,710.5,1846.5,1006.33333333,2293.59259259,800.753968254,1727.76960784,727.277777778,553.666666667,721.833333333,327.5,971.752567694,596.896825397,1130.66666667,225.0,288.266666667,407.166666667,661.682539683,338.111111111,735.642857143,441.69047619,25.0,397.563492063,603.0,983.666666667,991.01984127,1459.5,568.214285714,419.777777778,1226.03267974,680.891690009,594.0,770.0,691.333333333,838.357142857,831.563492063,902.583333333,1772.66666667,795.0,901.619047619,219.666666667,376.333333333,546.023809524,599.777777778,187.666666667,423.166666667,847.841269841,543.5,2926.61111111,753.326984127,1981.92592593,716.785714286,4684.77777778,821.726190476,702.765873016,494.357142857,848.805555556,1454.08333333,1082.50793651,1244.73809524,1289.19444444,848.666666667,1541.16666667,1258.24369748,818.285714286,742.5,763.25,516.595238095,467.0,776.166666667,707.916666667,671.333333333,826.166666667,2025.33333333,1001.0,714.457142857,1363.5,727.333333333,804.714285714,1964.26538462,642.357142857,506.428571429,873.0,515.0,431.857142857,253.333333333,1180.16666667,878.166666667,676.912698413,626.333333333,1068.15079365,537.5,272.357142857,598.833333333,580.5,1099.22222222,631.222222222,379.761904762,470.027777778,600.285714286,228.711111111,2497.6474359,926.5,1330.5,843.071428571,220.0,800.571428571,839.222222222,469.555555556,931.285714286,442.666666667,1095.18253968,877.714285714,188.5,310.722222222,366.0,584.294117647,609.952380952,719.583333333,1935.66666667,595.777777778,Assimilatory sulfite reductase (NADPH).           
1.8.7.1,511.161290323,252.0,296.677419355,504.782258065,292.274193548,153.387096774,540.580645161,157.0,273.5,267.5,38.25,210.674731183,232.290322581,935.038461538,299.556451613,2813.11827957,246.599462366,775.241935484,367.284946237,352.282051282,339.166666667,503.166666667,3895.70430108,218.725806452,172.75,388.52688172,167.166666667,530.630952381,647.333333333,201.416666667,1992.56989247,279.0,966.25,215.094086022,499.838709677,588.642857143,143.5,221.666666667,1022.98076923,386.540322581,294.85483871,199.784946237,405.040322581,307.416666667,839.102564103,611.8003663,1125.61538462,175.588709677,3614.83333333,475.583333333,314.088709677,394.666666667,199.403225806,230.784946237,197.833333333,688.590659341,263.0,213.25,464.916666667,167.75,187.166666667,151.653225806,266.666666667,149.0,330.5,1207.88709677,614.178571429,234.844086022,3074.02419355,176.75,320.25,254.809139785,140.494623656,293.5,1523.28494624,1821.0483871,315.696774194,175.25,293.177419355,873.576923077,163.830645161,252.451612903,182.25,268.833333333,241.5,116.333333333,235.505376344,172.048387097,91.0833333333,212.889784946,9233.27150538,122.386666667,941.884615385,305.258064516,2395.48076923,516.653225806,143.0,141.008064516,202.067204301,1833.98195084,309.965053763,1174.19354839,3935.44354839,154.333333333,595.461538462,329.989247312,807.478494624,253.326923077,168.89516129,131.620967742,1179.94623656,208.061827957,891.904761905,37.0,130.333333333,852.320512821,339.620967742,185.927419355,467.241935484,253.35483871,299.518817204,4369.01612903,136.5,338.612903226,486.916666667,158.0,335.193548387,183.0,531.798387097,269.583333333,198.75,669.379032258,360.865591398,262.685483871,264.879032258,274.85483871,746.273809524,299.13172043,430.75,258.663978495,256.25,157.75,33.3333333333,6636.34780811,341.161290323,626.467948718,230.0,166.822580645,674.870967742,614.892857143,71.6666666667,379.629032258,202.5,826.0,171.693548387,87.5,206.916666667,130.166666667,199.35483871,278.951612903,1049.71428571,831.357142857,412.583333333,Assimilatory sulfite reductase (ferredoxin).           
1.8.99.1,114.0,61.3333333333,214.666666667,62.0,28.6666666667,172.0,180.0,81.3333333333,63.3333333333,63.3333333333,0.0,144.0,82.0,8.66666666667,66.0,152.0,222.0,189.333333333,86.0,16.0,7.6,69.3333333333,90.0,162.666666667,275.066666667,169.333333333,162.666666667,0.0,4.8,78.6666666667,118.666666667,108.0,82.0,160.0,374.666666667,82.0,92.0,24.0,13.6,70.8,180.666666667,122.0,146.666666667,1.2,25.3333333333,3.33333333333,0.0,120.0,178.0,2.0,168.0,0.0,71.3333333333,221.333333333,82.6666666667,7.2,186.666666667,41.3333333333,39.3333333333,74.0,30.6666666667,124.666666667,38.0,0.0,67.3333333333,73.3333333333,86.8,213.333333333,64.0,36.0,34.0,103.333333333,146.666666667,12.8,150.666666667,25.3333333333,152.0,164.0,41.3333333333,0.0,144.0,158.0,0.0,37.3333333333,96.0,90.0,44.0,48.0,188.0,50.0,267.333333333,118.0,0.0,146.666666667,0.0,240.0,96.0,90.0,148.666666667,92.0,116.0,225.333333333,106.0,142.0,8.8,302.666666667,158.0,0.0,172.0,136.0,27.3333333333,141.333333333,0.0,122.666666667,189.333333333,33.3333333333,252.0,94.0,91.3333333333,60.6666666667,73.3333333333,164.666666667,109.333333333,152.666666667,5.6,8.0,117.333333333,31.3333333333,192.666666667,70.6666666667,62.6666666667,156.933333333,218.666666667,104.0,160.666666667,48.6666666667,32.0,78.0,10.0,117.333333333,126.666666667,54.6666666667,0.0,250.0,297.333333333,0.0,49.3333333333,24.0,256.666666667,0.0,35.3333333333,191.333333333,54.6666666667,24.6666666667,148.666666667,30.0,20.6666666667,133.333333333,76.0,134.666666667,30.0,215.066666667,0.0,Deleted entry.           
1.97.1.3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.25,2.0,0.0,2.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.2,1.5,0.0,0.0,0.0,3.25,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.66666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.75,0.0,0.0,Transferred entry: 1.12.98.4.           
1.13.11.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.13.11.5,1293.19029738,1897.8712766,1358.05744681,1249.66737589,730.471947195,1391.87340074,1333.26148456,876.616215783,7087.76785689,987.814851485,727.429078014,3910.60549645,3966.35815603,1193.6310042,2007.79690331,797.184869976,3481.49308511,1025.69361527,2200.01911383,2244.84800873,1772.62275823,1397.63861386,907.724822695,2922.03971631,1036.18818377,2257.59561952,158.471854844,3009.06666667,3080.19929078,1785.73758865,1487.27158907,1859.99554807,5116.43073286,3084.43347503,5567.05939716,3917.72624113,891.915070922,1713.31560284,2445.2213797,363.423404255,1306.02907801,2324.43864897,1977.81276596,1244.66666667,810.712510111,3696.53633388,1533.12701915,2160.48513447,1645.3449103,2793.14071343,1181.30443789,1488.32935231,588.213475177,2400.24230784,2832.91489362,3297.299018,1120.91353135,1890.45443262,772.605017675,2096.92773205,1775.9787234,3283.32624113,2046.80744681,9.0,1415.10992908,1307.50730988,3170.74326241,2276.19143576,3401.36714489,2602.06382979,1898.48812057,4912.49553609,1887.92870552,1217.47780391,1559.38727617,1335.96958079,2274.52468226,3217.1106383,1289.38213764,926.402225036,3761.16028369,2132.69148936,1682.19148936,1601.08865248,1406.07435924,1975.13120567,752.592198582,459.637195422,2491.85106383,3264.90851064,2928.81404196,228.893076825,709.841994047,2201.73239239,2897.61412909,1860.86134927,2351.99663121,2157.52624113,2847.4927305,4232.07498192,2951.4253037,2521.05646022,1975.79517678,2226.5106383,1946.50892914,2934.20584063,1315.34491082,1991.44358974,3345.97138719,2511.1787234,1091.88542237,2937.42730145,2443.7714539,82.3877775568,172.830143014,1115.62601289,1429.24052428,2872.47375887,1561.44232871,1077.44238466,3651.7893617,1178.82758657,2762.95602837,1319.22039885,2508.19580788,966.645354961,985.736777614,1867.58156028,2810.67569386,5247.51279405,2660.7893617,806.190548417,2672.1794256,1991.58865248,1254.74680851,993.675339465,2043.31382979,4923.46170213,2781.23546099,640.737588652,2664.28865248,3267.0106383,73.9579822419,2204.98108747,2692.8894587,1862.38276202,6034.36598553,1006.77304965,1821.06926129,4653.04081519,1297.35319149,2059.9455666,2022.35638298,6147.01664858,2790.77046556,958.078014184,2094.23049645,926.679432624,1399.64127973,1596.63495568,2337.97943262,5371.3332855,2470.758404,Homogentisate 1 2-dioxygenase.          
2.8.1.5,15.0,31.6666666667,17.3333333333,18.0,8.33333333333,10.6666666667,22.3333333333,6.33333333333,9.66666666667,12.0,0.0,13.0,0.0,0.0,3.0,4.0,3.0,18.6666666667,11.0,0.0,3.8,13.0,0.0,3.33333333333,82.5333333333,20.6666666667,0.0,0.0,2.4,19.3333333333,17.3333333333,0.0,8.0,10.0,27.3333333333,6.0,11.3333333333,0.0,6.8,2.4,16.0,14.0,4.66666666667,0.6,0.0,1.66666666667,0.0,0.0,0.0,1.0,11.0,0.0,2.66666666667,13.6666666667,11.3333333333,3.6,12.3333333333,17.6666666667,12.6666666667,0.0,11.3333333333,5.33333333333,19.0,0.0,17.6666666667,16.6666666667,9.4,17.6666666667,0.0,0.0,17.0,2.66666666667,15.6666666667,0.4,20.3333333333,10.6666666667,23.0,0.0,10.3333333333,0.0,0.0,0.0,0.0,13.6666666667,19.0,6.0,22.0,0.0,0.0,2.0,2.66666666667,12.0,0.0,7.33333333333,0.0,37.0,0.0,12.0,7.33333333333,9.0,0.0,22.6666666667,0.0,8.0,4.4,10.3333333333,11.0,0.0,9.0,1.0,13.6666666667,9.66666666667,0.0,0.0,8.66666666667,11.6666666667,33.0,3.0,13.6666666667,11.0,2.66666666667,3.33333333333,1.66666666667,14.3333333333,2.8,0.0,12.0,8.66666666667,23.3333333333,6.33333333333,5.33333333333,18.8,15.6666666667,0.0,15.3333333333,19.0,0.0,0.0,5.0,10.6666666667,17.3333333333,6.33333333333,0.0,1.0,31.6666666667,0.0,9.66666666667,1.0,20.3333333333,0.0,6.66666666667,25.3333333333,11.3333333333,12.3333333333,9.33333333333,0.0,10.3333333333,10.6666666667,7.0,16.3333333333,3.0,22.5333333333,0.0,Thiosulfate--dithiol sulfurtransferase.           
1.8.2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.8.5.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Thiosulfate dehydrogenase (quinone).           
2.8.1.1,4577.9,1875.18849206,3357.56666667,2691.85714286,2156.6,4885.15555556,3792.9,3686.91111111,5153.33531746,3162.06666667,2033.0,4401.20833333,5104.09325397,4646.63804714,5313.44444444,4700.30833333,7152.50793651,4618.21111111,5099.69365079,4791.94444444,3404.375,3594.71944444,6882.375,7475.88888889,2652.18333333,10627.3888889,678.205555556,4164.625,5162.625,3327.49801587,3072.01111111,3985.66666667,5557.51388889,7830.09325397,14534.6309524,3653.16666667,3213.63888889,2376.33333333,8242.65277778,1244.82222222,4209.03849206,5614.63174603,4770.87619048,3939.18055556,2358.04545455,4309.47222222,6221.2962963,6906.00198413,7659.76388889,3689.34722222,5425.35277778,4782.0,2389.83333333,7025.36190476,4571.30952381,6165.47222222,2740.71111111,2815.025,1700.16666667,6650.99960317,2945.75,4951.57142857,3340.87301587,136.888888889,2927.30952381,3119.07777778,4418.38888889,7024.42936508,7509.31944444,3935.3015873,3458.29166667,7767.09722222,6085.6468254,3553.51111111,4318.03333333,3031.35555556,7207.06746032,6533.87619048,3257.85555556,3536.98484848,6725.61111111,7345.4984127,2065.44444444,2704.83333333,4436.82301587,5464.85833333,725.711111111,2225.16666667,6872.21230159,4707.55555556,15420.2171595,897.15,2753.99074074,8086.42063492,14043.8876263,5167.54642857,6164.61626984,5133.37301587,9730.45555556,6445.27083333,9541.85396825,11551.8301587,6536.63888889,5675.31944444,6687.125,13202.8293651,6148.94285714,5041.06944444,6664.11388889,3950.88095238,2674.4,5101.13888889,6067.29166667,745.311111111,1921.45277778,4009.36742424,4460.31944444,9297.12857143,5150.56666667,3163.86666667,4599.19047619,9147.88611111,4335.0952381,6111.51706349,4417.375,2737.03333333,3052.81746032,2481.02777778,9676.11666667,5152.72222222,3775.37301587,1451.24444444,8547.57539683,4932.70833333,3109.78412698,2456.43333333,4146.5,6013.51388889,3460.61111111,3210.9031746,4998.59444444,3375.54563492,387.3,11745.975,7063.85555556,6017.91666667,3234.26071429,2501.83333333,7044.14126984,4323.36111111,3728.06944444,7662.08730159,4401.05555556,6634.89126984,6955.45714286,2793.05555556,2539.05555556,3664.88888889,5420.61111111,5449.57619048,5452.13888889,8628.5,3751.55555556,Thiosulfate sulfurtransferase.           
3.12.1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
